City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Anloga,GH,5.7947,0.8973,82.4,83,20,8.05,1619831331
Lovozero,RU,68.005,35.0117,8.58,80,16,5.21,1619831332
Husavik,IS,66.0449,-17.3389,32.0,93,90,6.91,1619831332
Thompson,CA,55.7435,-97.8558,32.0,100,90,5.75,1619831332
Samarai,PG,-10.6167,150.6667,81.57,75,26,10.49,1619831333
Benguela,AO,-12.5763,13.4055,77.59,85,46,2.01,1619831333
Labuhan,ID,-6.8844,112.2051,81.21,80,69,6.22,1619831334
Temir,KZ,49.1414,57.13,45.5,54,15,9.01,1619831334
Aklavik,CA,68.2191,-135.0107,35.6,64,100,6.91,1619831334
Gualeguay,AR,-33.1416,-59.3097,58.17,70,0,7.74,1619831182
Tabas,IR,33.5959,56.9244,72.57,42,100,1.23,1619831335
Kizner,RU,56.2749,51.508,47.97,61,96,15.03,1619831335
Port Elizabeth,ZA,-33.918,25.5701,59.0,58,0,9.22,1619831336
Qaanaaq,GL,77.484,-69.3632,29.84,59,100,7.25,1619831336
Upington,ZA,-28.4478,21.2561,53.6,62,0,3.44,1619831336
São Domingos,BR,-13.3983,-46.3183,75.31,59,100,7.05,1619831337
Bilma,NE,18.6853,12.9164,82.74,6,0,8.79,1619831337
Hilo,US,19.7297,-155.09,84.2,54,75,10.36,1619831337
Ponta do Sol,PT,32.6667,-17.1,59.0,58,100,3.0,1619831338
Palmer,US,42.1584,-72.3287,50.0,53,75,26.46,1619831338
Koslan,RU,63.4564,48.8989,33.1,97,100,7.2,1619831338
Laas,IT,46.6166,10.7002,50.0,93,75,4.61,1619831338
Port Blair,IN,11.6667,92.75,77.0,88,20,0.34,1619831067
Cumberland,US,35.0502,-78.8664,73.4,35,1,9.22,1619831339
Srednekolymsk,RU,67.45,153.6833,27.37,77,5,11.81,1619831339
Hay River,CA,60.8156,-115.7999,33.8,86,100,4.61,1619831153
Antofagasta,CL,-23.65,-70.4,59.0,82,0,6.91,1619831269
Klaksvík,FO,62.2266,-6.589,35.6,87,90,5.75,1619831340
Hobyo,SO,5.3505,48.5268,83.25,68,100,6.98,1619831341
Skjervøy,NO,70.0311,20.9714,31.78,53,100,20.6,1619831341
Bubaque,GW,11.2833,-15.8333,78.85,68,31,14.14,1619831341
Conway,US,35.0887,-92.4421,71.6,73,1,4.61,1619831241
Vanimo,PG,-2.6741,141.3028,85.59,68,95,0.85,1619831342
Bathsheba,BB,13.2167,-59.5167,78.8,65,40,12.66,1619831342
Narsaq,GL,60.9167,-46.05,50.0,29,64,27.63,1619831327
Grand Forks,US,47.9417,-97.4337,59.0,23,75,23.02,1619831343
Harwich,GB,51.9419,1.2844,39.0,82,7,1.01,1619831343
Buala,SB,-8.145,159.5921,83.12,70,100,5.19,1619831344
São Miguel dos Campos,BR,-9.7811,-36.0936,77.0,83,75,10.36,1619831059
Great Yarmouth,GB,52.6083,1.7305,37.99,87,0,4.61,1619831344
Bagdarin,RU,54.4333,113.6,41.9,49,81,7.36,1619831345
General Pico,AR,-35.6566,-63.7568,58.21,65,100,11.34,1619831345
Geraldton,AU,-28.7667,114.6,62.6,39,87,13.8,1619831345
Nieves,PH,15.3274,120.9485,86.0,70,75,2.3,1619831346
Saldanha,ZA,-33.0117,17.9442,53.6,76,0,2.3,1619831346
Port Keats,AU,-14.25,129.55,84.25,41,0,8.16,1619831347
Arica,CL,-18.475,-70.3042,66.2,68,0,2.64,1619831108
Torbay,CA,47.6666,-52.7314,37.0,100,90,14.97,1619831347
Saint-Philippe,RE,-21.3585,55.7679,73.99,78,0,6.91,1619831348
Qaqortoq,GL,60.7167,-46.0333,50.0,29,34,27.63,1619831348
Manokwari,ID,-0.8667,134.0833,82.51,71,90,1.61,1619831348
Vila Velha,BR,-20.3297,-40.2925,77.0,68,0,10.36,1619831349
Berlevåg,NO,70.8578,29.0864,34.0,66,100,26.53,1619831349
Muli,MV,2.9167,73.5667,83.03,70,97,4.05,1619831350
San Cristobal,VE,7.7669,-72.225,75.2,100,75,4.61,1619831350
Constantine,DZ,36.365,6.6147,71.6,40,0,20.71,1619831350
Avera,US,33.194,-82.5271,69.8,52,1,4.61,1619831351
Pontes e Lacerda,BR,-15.2261,-59.3353,67.24,72,0,2.91,1619831299
Daphne,US,30.6035,-87.9036,73.4,88,1,3.44,1619831351
Sambava,MG,-14.2667,50.1667,74.89,88,0,8.03,1619831351
Lorengau,PG,-2.0226,147.2712,86.07,63,32,2.57,1619831352
Naze,JP,28.3667,129.4833,75.2,78,75,21.85,1619831352
Yangi Marg`ilon,UZ,40.4272,71.7189,64.4,55,32,4.61,1619831352
Puerto Carreño,CO,6.189,-67.4859,74.84,84,66,2.37,1619831353
São João da Barra,BR,-21.6403,-41.0511,68.9,75,100,9.48,1619831353
Lavrentiya,RU,65.5833,-171.0,25.57,67,56,2.98,1619831354
Pandan,PH,14.0453,124.1694,82.89,63,8,1.59,1619831354
Honiara,SB,-9.4333,159.95,85.78,63,100,4.81,1619831354
Talaya,RU,61.3833,152.75,30.69,85,100,2.75,1619831355
Gizo Government Station,SB,-8.103,156.8419,84.0,72,25,7.07,1619831355
Port Lincoln,AU,-34.7333,135.8667,74.52,35,99,19.39,1619831229
Kaeo,NZ,-35.1,173.7833,66.99,71,24,8.99,1619831355
Zyryanka,RU,65.75,150.85,36.36,81,100,4.83,1619831356
Cap Malheureux,MU,-19.9842,57.6142,78.01,79,100,5.01,1619831356
Muyezerskiy,RU,63.9333,31.65,25.48,83,83,6.33,1619831356
Mafinga,TZ,-7.25,35.0667,65.25,87,100,1.95,1619831357
Port Hardy,CA,50.6996,-127.4199,51.8,87,75,2.3,1619831357
Lékoni,GA,-1.5843,14.2591,70.88,89,100,4.32,1619831357
Mikumi,TZ,-7.4041,36.9831,68.16,96,95,2.26,1619831359
Batagay,RU,67.6333,134.6333,32.59,90,95,0.83,1619831359
Bac Lieu,VN,9.285,105.7244,86.36,66,100,12.93,1619831360
Clearwater,US,27.9659,-82.8001,77.0,83,75,6.91,1619831360
Wuhu,CN,31.3366,118.3755,64.4,63,0,4.47,1619831360
Sabang,ID,5.8933,95.3214,83.01,74,99,8.23,1619831361
Emporia,US,38.4039,-96.1817,71.6,40,1,8.05,1619831331
Vestmannaeyjar,IS,63.4427,-20.2734,37.92,94,95,11.21,1619831362
Selma,US,36.5708,-119.6121,91.4,15,75,11.5,1619831362
Chokurdakh,RU,70.6333,147.9167,20.28,82,8,5.93,1619831363
Sorgun,TR,39.8101,35.186,50.38,79,7,2.93,1619831363
Narón,ES,43.5167,-8.1528,48.2,87,40,1.14,1619831363
Wichita Falls,US,33.9137,-98.4934,71.6,73,75,9.22,1619831208
Coahuayana Viejo,MX,18.7333,-103.6833,84.2,48,40,11.5,1619831364
Kralendijk,BQ,12.15,-68.2667,78.8,83,100,12.66,1619831364
Palamós,ES,41.8484,3.1291,55.99,22,98,11.63,1619831365
Formby,GB,53.5536,-3.0682,42.01,84,22,7.16,1619831104
Westport,US,41.1415,-73.3579,53.6,37,75,27.63,1619831365
Vila Franca do Campo,PT,37.7167,-25.4333,51.8,71,20,2.3,1619831366
Nome,US,64.5011,-165.4064,26.01,68,75,6.91,1619831366
Opuwo,NA,-18.0607,13.84,68.9,37,57,5.12,1619831366
Laguna,US,38.421,-121.4238,80.01,35,1,8.05,1619831367
Arraial do Cabo,BR,-22.9661,-42.0278,71.94,66,37,8.7,1619831367
Diébougou,BF,10.9667,-3.25,86.47,44,35,5.37,1619831367
Tarauacá,BR,-8.1614,-70.7656,72.43,82,47,1.92,1619831184
Provideniya,RU,64.3833,-173.3,28.74,75,100,5.95,1619831368
Mayo,US,38.8876,-76.5119,55.4,47,1,12.66,1619831368
Siilinjärvi,FI,63.0833,27.6667,30.2,59,0,5.75,1619831368
Mehamn,NO,71.0357,27.8492,32.9,61,93,22.39,1619831369
Mount Barker,AU,-35.0667,138.8667,78.01,41,100,12.64,1619831369
La Santisima Trinidad,BO,-14.8333,-64.9,66.78,75,1,2.62,1619831369
Hefei,CN,31.8639,117.2808,70.0,59,0,2.24,1619831359
Boddam,GB,57.4667,-1.7833,42.01,100,25,1.14,1619831370
Tarko-Sale,RU,64.9225,77.785,32.0,93,100,1.99,1619831370
Ostrovnoy,RU,68.0531,39.5131,16.3,81,100,5.84,1619831371
Eston,CA,51.1501,-108.7514,77.0,17,75,14.97,1619831371
Våler,NO,60.6785,11.8331,32.0,64,0,2.3,1619831372
Santiago del Estero,AR,-27.7951,-64.2615,62.4,50,6,7.9,1619831372
Yar-Sale,RU,66.8333,70.8333,15.12,92,61,9.73,1619831372
Aitape,PG,-3.1374,142.3475,85.23,66,100,2.35,1619831372
Kelvington,CA,52.1667,-103.5343,69.8,24,10,6.91,1619831373
Buraidah,SA,26.326,43.975,71.6,37,0,4.61,1619831373
Vazante,BR,-17.9869,-46.9078,66.87,78,100,3.89,1619831373
Tungor,RU,53.3808,142.9564,35.22,84,100,9.04,1619831374
Honningsvåg,NO,70.9821,25.9704,35.22,55,99,23.2,1619831374
Mahajanga,MG,-15.7167,46.3167,75.2,88,20,3.44,1619831374
Grindavik,IS,63.8424,-22.4338,33.8,75,20,21.85,1619831375
Kiama,AU,-34.6833,150.8667,73.0,73,0,5.01,1619831375
Cabo San Lucas,MX,22.8909,-109.9124,81.0,34,1,11.5,1619831376
Qandala,SO,11.472,49.8728,83.98,63,73,1.81,1619831376
Danielskuil,ZA,-28.1887,23.5395,45.46,81,0,8.99,1619831376
Koumac,NC,-20.5667,164.2833,79.07,62,89,8.46,1619831377
Arrondissement d'Ajaccio,FR,42.0,8.9167,59.0,82,75,4.61,1619831377
Mandalgovi,MN,45.7625,106.2708,40.42,30,100,16.53,1619831378
Arlit,NE,18.7369,7.3853,85.5,6,0,7.25,1619831378
Benicarló,ES,40.4165,0.4271,53.01,80,100,5.01,1619831378
Leningradskiy,RU,69.3833,178.4167,19.11,92,100,23.98,1619831379
Tilichiki,RU,60.4667,166.1,30.4,71,2,13.51,1619831379
Channel-Port aux Basques,CA,47.5702,-59.1367,38.59,94,100,38.59,1619831380
Tautira,PF,-17.7333,-149.15,86.0,66,40,14.97,1619831380
Alice Springs,AU,-23.7,133.8833,80.6,22,76,6.91,1619831147
Bontang,ID,0.1333,117.5,81.23,79,100,2.75,1619831157
Shingū,JP,33.7333,135.9833,62.6,82,75,24.16,1619831382
San Quintín,MX,30.4833,-115.95,69.84,59,0,13.58,1619831382
Lebu,CL,-37.6167,-73.65,56.43,92,100,21.85,1619831383
Port-Gentil,GA,-0.7193,8.7815,81.64,79,100,7.11,1619831383
Santa Cruz de la Sierra,BO,-17.8,-63.1667,66.2,72,22,2.3,1619831372
Dzhebariki-Khaya,RU,62.2167,135.8,36.64,97,100,1.81,1619831383
Beringovskiy,RU,63.05,179.3167,24.48,74,98,14.09,1619831384
Mount Isa,AU,-20.7333,139.5,80.6,41,0,11.5,1619831384
Río Gallegos,AR,-51.6226,-69.2181,41.0,93,0,11.5,1619831384
Mildura,AU,-34.2,142.15,73.99,37,100,9.22,1619831385
Baloteşti,RO,44.6167,26.1167,60.01,100,0,1.14,1619831385
Mahon,ES,39.8885,4.2658,59.0,94,0,4.61,1619831385
Naryan-Mar,RU,67.6713,53.087,29.03,81,100,7.72,1619831385
Tiksi,RU,71.6872,128.8694,30.52,89,22,4.5,1619831386
Hambantota,LK,6.1241,81.1185,75.2,100,20,2.3,1619831386
Khairpur,PK,27.5295,68.7617,78.8,57,95,5.21,1619831386
Kruisfontein,ZA,-34.0033,24.7314,51.93,69,0,6.26,1619831387
Kuril'sk,RU,45.2333,147.8833,34.57,92,100,16.67,1619831387
Loncoche,CL,-39.3667,-72.6333,55.4,100,90,5.75,1619831351
Saint Paul Harbor,US,57.79,-152.4072,48.2,53,1,8.05,1619831351
Burns Lake,CA,54.2331,-125.7533,46.4,66,97,5.75,1619831387
Ayan,RU,56.45,138.1667,30.69,96,100,13.44,1619831388
Ndola,ZM,-12.9587,28.6366,61.63,92,91,3.47,1619831388
Flinders,AU,-34.5833,150.8552,73.0,72,3,1.99,1619831389
Kentau,KZ,43.5206,68.5094,53.44,47,68,19.17,1619831389
Acapulco de Juárez,MX,16.8634,-99.8901,80.6,78,20,6.91,1619831390
Albert Lea,US,43.648,-93.3683,62.6,20,1,5.75,1619831390
Harlingen,US,26.1906,-97.6961,78.01,94,90,11.5,1619831391
Yerbogachën,RU,61.2767,108.0108,36.25,95,100,8.93,1619831391
Dawson Creek,CA,55.7666,-120.2362,55.4,38,20,28.77,1619831391
Jalu,LY,29.0331,21.5482,83.5,14,0,10.54,1619831391
Khilok,RU,51.3674,110.4676,43.97,42,100,7.49,1619831392
Faanui,PF,-16.4833,-151.75,80.78,73,100,4.09,1619831392
Burnie,AU,-41.0667,145.9167,63.0,66,100,3.0,1619831264
Pochutla,MX,15.7432,-96.4661,82.0,78,90,7.85,1619831393
Itakyry,PY,-24.9333,-55.2167,60.8,88,0,3.44,1619831393
Tvøroyri,FO,61.5556,-6.8111,35.6,87,90,5.75,1619831394
Urengoy,RU,65.9667,78.3667,32.14,96,100,15.1,1619831394
Kavieng,PG,-2.5744,150.7967,84.61,66,83,4.56,1619831394
Dondo,MZ,-19.6094,34.7431,73.4,94,90,3.91,1619831395
Bandi̇̄pur,NP,27.9333,84.4167,71.26,33,87,0.38,1619831395
Kodaikānāl,IN,10.2333,77.4833,55.45,90,18,2.04,1619831395
Touros,BR,-5.1989,-35.4608,75.2,94,0,4.61,1619831396
Guerrero Negro,MX,27.9769,-114.0611,74.25,42,0,18.99,1619831396
Dalbandin,PK,28.8947,64.4101,73.38,40,100,2.06,1619831397
Goderich,CA,43.7501,-81.7165,41.0,60,0,25.32,1619831398
Margate,GB,51.3813,1.3862,42.01,82,12,1.01,1619831398
Vryburg,ZA,-26.9566,24.7284,49.77,70,0,9.22,1619831399
Ballina,AU,-28.8667,153.5667,71.6,68,40,12.66,1619831399
Tuktoyaktuk,CA,69.4541,-133.0374,23.0,80,20,10.36,1619831399
Harrai,IN,22.6167,79.2167,83.7,26,89,2.39,1619831400
Horasan,TR,40.0458,42.1728,49.28,83,100,1.28,1619831400
Necochea,AR,-38.5473,-58.7368,52.0,87,0,5.01,1619831401
Kosh-Agach,RU,50.0,88.6667,49.55,61,100,7.92,1619831402
Askiz,RU,53.1319,90.5264,44.89,81,100,2.37,1619831403
Payson,US,40.0444,-111.7321,73.4,28,1,4.61,1619831403
Mangai,CD,-4.05,19.5333,69.28,99,100,0.51,1619831404
Lompoc,US,34.6391,-120.4579,57.0,87,90,11.5,1619831404
Veinticinco de Mayo,AR,-35.4323,-60.1727,52.0,84,0,1.99,1619831348
Hohhot,CN,40.8106,111.6522,48.2,37,0,8.95,1619831404
Hornepayne,CA,49.2138,-84.7705,34.72,50,6,2.84,1619831405
Broome,US,42.2506,-75.833,39.99,80,90,17.27,1619831405
Roald,NO,62.5833,6.1333,37.4,87,90,8.05,1619831405
Tokonou,GN,9.65,-9.7833,73.9,78,5,7.7,1619831406
Puerto Plata,DO,19.7934,-70.6884,75.2,94,20,9.06,1619831268
Bud,US,39.447,-86.1758,52.0,52,0,8.57,1619831406
Ilhabela,BR,-23.7781,-45.3581,70.07,74,100,8.55,1619831407
Arrondissement de Beaune,FR,47.0833,4.75,46.0,93,100,4.61,1619831407
Huanren,CN,41.2647,125.3667,49.78,53,100,4.59,1619831408
Mapiripán,CO,2.8892,-72.1256,70.39,97,100,2.95,1619831408
Ahipara,NZ,-35.1667,173.1667,65.89,62,21,12.95,1619831408
Acaraú,BR,-2.8856,-40.12,78.13,85,32,7.47,1619831409
Ndélé,CF,8.4109,20.6473,79.92,50,100,6.78,1619831409
Sakakah,SA,29.9697,40.2064,75.2,16,0,14.97,1619831409
